City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Quatre Cocos,MU,-20.2078,57.7625,76.08,76,37,15.66,light rain
Jamestown,US,42.097,-79.2353,63.99,92,90,1.99,overcast clouds
Busselton,AU,-33.65,115.3333,68.04,59,76,10.31,broken clouds
Shache,CN,38.4167,77.2406,53.62,15,17,3.24,few clouds
Santa Rosa,PH,14.3122,121.1114,90.09,63,50,11.12,scattered clouds
Bluff,NZ,-46.6,168.3333,55.53,69,92,6.44,overcast clouds
Bay Roberts,CA,47.5999,-53.2648,45.34,84,100,10.0,overcast clouds
New Norfolk,AU,-42.7826,147.0587,57.92,41,90,4.0,overcast clouds
Sur,OM,22.5667,59.5289,89.98,37,11,2.73,few clouds
Cape Town,ZA,-33.9258,18.4232,56.1,67,0,4.61,clear sky
Tiarei,PF,-17.5333,-149.3333,80.62,67,28,3.42,scattered clouds
Georgetown,MY,5.4112,100.3354,89.89,70,20,1.01,few clouds
Mahebourg,MU,-20.4081,57.7,76.24,83,75,11.5,light rain
Butaritari,KI,3.0707,172.7902,81.91,74,39,10.2,scattered clouds
Champerico,GT,14.3,-91.9167,81.36,84,100,8.16,overcast clouds
Homer,US,59.6425,-151.5483,46.8,78,90,14.97,overcast clouds
Nabire,ID,-3.3667,135.4833,86.88,66,38,5.68,light rain
Huntington,US,38.4193,-82.4452,63.77,97,1,3.44,mist
Kasama,ZM,-10.2129,31.1808,71.8,33,68,6.78,broken clouds
Balkhash,KZ,46.844,74.9804,48.81,49,40,6.71,scattered clouds
Saldanha,ZA,-33.0117,17.9442,51.85,69,30,6.73,scattered clouds
Koungou,YT,-12.7336,45.2042,76.71,83,20,3.44,few clouds
Necochea,AR,-38.5473,-58.7368,41.04,79,0,9.28,clear sky
Hasaki,JP,35.7333,140.8333,81.28,74,16,11.92,few clouds
Leningradskiy,RU,69.3833,178.4167,17.2,93,100,5.23,overcast clouds
Hilo,US,19.7297,-155.09,74.28,90,90,5.75,moderate rain
Viedma,AR,-40.8135,-62.9967,54.5,67,0,11.1,clear sky
Kaitangata,NZ,-46.2817,169.8464,58.93,74,38,8.81,scattered clouds
Dingle,PH,10.9995,122.6711,79.93,85,100,13.85,moderate rain
Tiksi,RU,71.6872,128.8694,24.6,86,74,1.34,broken clouds
East London,ZA,-33.0153,27.9116,58.14,82,20,12.66,light rain
Dikson,RU,73.5069,80.5464,29.59,69,100,25.77,light snow
Avarua,CK,-21.2078,-159.775,77.05,65,91,3.44,overcast clouds
Lakatoro,VU,-16.0999,167.4164,79.86,76,65,17.76,broken clouds
Atuona,PF,-9.8,-139.0333,78.12,70,14,18.05,few clouds
Vila Franca Do Campo,PT,37.7167,-25.4333,73.2,86,99,10.02,overcast clouds
Bredasdorp,ZA,-34.5322,20.0403,53.28,93,1,3.44,clear sky
Kavaratti,IN,10.5669,72.642,82.45,79,80,12.01,broken clouds
Nagato,JP,34.3833,131.2,86.45,61,0,16.17,clear sky
Upernavik,GL,72.7868,-56.1549,32.67,75,100,15.28,overcast clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,67.19,85,100,17.67,overcast clouds
Tucuma,BR,-0.1833,-50.05,76.1,92,85,5.66,overcast clouds
Bac Lieu,VN,9.285,105.7244,87.15,67,88,16.49,overcast clouds
Rikitea,PF,-23.1203,-134.9692,74.84,82,100,18.77,overcast clouds
Mataura,NZ,-46.1927,168.8643,64.06,51,84,4.07,broken clouds
Oussouye,SN,12.485,-16.5469,78.08,86,20,5.1,few clouds
Olafsvik,IS,64.8945,-23.7142,41.27,80,98,4.76,overcast clouds
Hobart,AU,-42.8794,147.3294,58.26,44,40,1.01,scattered clouds
Puri,IN,19.8,85.85,88.32,62,21,5.08,few clouds
Punta Arenas,CL,-53.15,-70.9167,39.31,87,40,19.57,scattered clouds
Jalu,LY,29.0331,21.5482,72.21,36,0,8.84,clear sky
Tasiilaq,GL,65.6145,-37.6368,28.56,60,29,4.56,scattered clouds
Pennagaram,IN,12.1333,77.9,79.99,65,98,5.46,overcast clouds
Ozernovskiy,RU,51.5,156.5167,45.59,74,67,8.81,broken clouds
Ushuaia,AR,-54.8,-68.3,42.46,75,75,12.66,light rain
Klaksvik,FO,62.2266,-6.589,49.12,81,75,23.53,broken clouds
Richards Bay,ZA,-28.783,32.0377,66.63,67,80,17.58,broken clouds
Lompoc,US,34.6391,-120.4579,61.57,88,1,6.91,clear sky
Abyek,IR,36.0667,50.55,46.06,55,0,3.27,clear sky
Mehamn,NO,71.0357,27.8492,42.08,90,100,7.87,overcast clouds
Mount Isa,AU,-20.7333,139.5,83.97,39,75,14.97,broken clouds
Hermanus,ZA,-34.4187,19.2345,53.8,79,2,11.39,clear sky
Andros Town,BS,24.7,-77.7667,81.77,70,45,3.71,scattered clouds
Kodiak,US,57.79,-152.4072,43.57,70,55,29.82,broken clouds
Bonthe,SL,7.5264,-12.505,75.87,91,100,4.14,overcast clouds
Port Alfred,ZA,-33.5906,26.891,61.36,61,73,8.59,broken clouds
Staryy Nadym,RU,65.6118,72.6842,31.23,82,75,19.13,broken clouds
Ketchikan,US,55.3422,-131.6461,46.38,93,90,3.44,light rain
Nome,US,64.5011,-165.4064,37.47,75,1,8.05,clear sky
Balabac,PH,7.9868,117.0645,83.86,78,100,16.17,overcast clouds
Albany,US,42.6001,-73.9662,58.03,81,100,5.03,overcast clouds
Acapulco,MX,16.8634,-99.8901,77.5,89,100,6.51,overcast clouds
Aklavik,CA,68.2191,-135.0107,31.03,98,98,5.5,light snow
Betsiamites,CA,48.9413,-68.646,43.2,84,42,2.21,scattered clouds
Sambava,MG,-14.2667,50.1667,75.04,62,49,10.83,scattered clouds
Kericho,KE,-0.3677,35.2831,58.14,91,98,3.42,overcast clouds
Cidreira,BR,-30.1811,-50.2056,63.84,91,100,18.63,overcast clouds
Yellowknife,CA,62.456,-114.3525,41.41,100,90,4.61,light rain
Bereda,ES,43.2686,-7.5406,53.35,100,59,6.87,broken clouds
Port Lincoln,AU,-34.7333,135.8667,56.73,54,85,16.06,overcast clouds
Mar Del Plata,AR,-38.0023,-57.5575,54.12,62,0,7.0,fog
Fairbanks,US,64.8378,-147.7164,37.6,92,90,6.91,light rain
Port Elizabeth,ZA,-33.918,25.5701,56.1,88,90,4.61,overcast clouds
Puerto Carreno,CO,6.189,-67.4859,75.47,91,83,3.06,broken clouds
Vaini,TO,-21.2,-175.2,75.36,94,75,4.61,light intensity drizzle
Ardmore,US,34.1743,-97.1436,77.32,57,1,5.75,clear sky
Bethel,US,41.3712,-73.414,61.2,83,90,1.99,overcast clouds
Saravan,AM,39.7196,45.6483,39.85,35,0,1.41,clear sky
San Patricio,US,28.017,-97.5169,82.29,80,0,11.72,clear sky
Qaanaaq,GL,77.484,-69.3632,29.48,72,100,13.94,overcast clouds
Novoseleznevo,RU,55.6821,69.2056,40.73,60,59,11.83,broken clouds
Lorengau,PG,-2.0226,147.2712,82.11,76,100,2.21,overcast clouds
Aksu,CN,41.1231,80.2644,51.76,18,100,4.76,overcast clouds
Half Moon Bay,US,37.4636,-122.4286,62.83,65,1,0.0,clear sky
Cabo San Lucas,MX,22.8909,-109.9124,86.5,51,67,5.99,broken clouds
Puerto Ayora,EC,-0.7393,-90.3518,68.56,89,50,1.99,scattered clouds
Ponta Do Sol,PT,32.6667,-17.1,72.23,75,20,5.23,few clouds
Carnarvon,AU,-24.8667,113.6333,75.27,43,0,17.27,clear sky
Saint-Pierre,RE,-21.3393,55.4781,76.28,64,20,1.14,few clouds
Dayong,CN,25.0209,118.2898,91.08,54,82,12.53,broken clouds
Touros,BR,-5.1989,-35.4608,74.3,80,54,10.45,broken clouds
Caravelas,BR,-17.7125,-39.2481,72.63,78,100,5.82,overcast clouds
Mezen,RU,65.8522,44.24,34.9,96,100,9.51,light rain
Coquimbo,CL,-29.9533,-71.3436,53.33,76,0,3.44,clear sky
Chute-Aux-Outardes,CA,49.1168,-68.399,43.11,100,1,3.44,clear sky
Ribeira Grande,PT,38.5167,-28.7,71.4,86,100,23.44,overcast clouds
Sayyan,YE,15.1718,44.3244,62.15,46,89,16.33,overcast clouds
Bam,IR,29.106,58.357,68.29,25,0,10.13,clear sky
Padang,ID,-0.9492,100.3543,77.05,77,83,6.69,broken clouds
Sao Filipe,CV,14.8961,-24.4956,78.76,80,3,8.77,clear sky
Jiguani,CU,20.3667,-76.4272,73.18,92,92,4.03,overcast clouds
Srednekolymsk,RU,67.45,153.6833,21.34,82,13,5.01,few clouds
Tayu,ID,-6.5397,111.0518,91.38,45,38,8.57,scattered clouds
Lasa,IT,46.6166,10.7002,45.48,60,1,6.13,clear sky
Reshetylivka,UA,49.565,34.0782,44.74,44,100,9.1,overcast clouds
Andenes,NO,69.3143,16.1194,47.46,93,90,6.91,mist
Puerto Madryn,AR,-42.7692,-65.0385,63.07,43,0,20.18,clear sky
Porto Novo,BJ,6.4965,2.6036,78.62,91,99,4.41,overcast clouds
Saskylakh,RU,71.9167,114.0833,23.61,94,100,8.25,overcast clouds
Virginia Beach,US,36.8529,-75.978,72.01,92,100,3.0,overcast clouds
Hobyo,SO,5.3505,48.5268,81.93,74,35,14.74,scattered clouds
Manga,BF,11.6636,-1.0731,78.58,70,95,4.81,overcast clouds
Kapaa,US,22.0752,-159.319,84.18,71,75,7.0,light rain
Tura,IN,25.5198,90.2201,86.52,59,2,3.02,clear sky
Beloha,MG,-25.1667,45.05,77.32,52,0,6.55,clear sky
Upata,VE,8.0086,-62.3989,75.2,97,57,2.13,broken clouds
Norman Wells,CA,65.282,-126.8329,32.04,93,90,9.22,light snow
Vanimo,PG,-2.6741,141.3028,86.0,69,43,8.28,scattered clouds
Chara,RU,56.9064,118.2631,39.65,51,87,5.14,overcast clouds
San Ciro De Acosta,MX,21.6333,-99.8167,66.65,95,44,2.35,light rain
Gobabis,NA,-22.45,18.9667,55.17,23,2,8.68,clear sky
Komsomolskiy,UZ,40.4272,71.7189,50.72,57,75,11.5,broken clouds
Shingu,JP,33.7333,135.9833,83.39,77,53,7.63,broken clouds
Tukrah,LY,32.5341,20.5791,74.53,47,2,6.58,clear sky
Breisach,DE,48.0333,7.5833,44.49,93,0,2.3,clear sky
Cayenne,GF,4.9333,-52.3333,81.09,81,0,0.0,clear sky
Sinacaban,PH,8.2864,123.8399,80.8,80,100,5.28,overcast clouds
Beringovskiy,RU,63.05,179.3167,31.33,96,100,6.89,light snow
Kruisfontein,ZA,-34.0033,24.7314,53.89,73,66,4.52,broken clouds
Alta Floresta,BR,-9.8756,-56.0861,75.47,70,18,1.14,few clouds
Nouadhibou,MR,20.931,-17.0347,69.78,83,49,19.57,scattered clouds
Meulaboh,ID,4.1363,96.1285,86.56,63,47,6.98,scattered clouds
Newport,GB,51.5877,-2.9984,59.86,89,58,6.62,broken clouds
Ilulissat,GL,69.2167,-51.1,33.82,55,20,12.66,light snow
Timizart,DZ,36.8,4.2667,58.17,83,2,2.77,clear sky
La Orilla,MX,17.9833,-102.2333,78.01,90,100,6.87,overcast clouds
Dunedin,NZ,-45.8742,170.5036,53.8,79,28,11.01,scattered clouds
Sitka,US,57.0531,-135.33,46.29,81,90,4.61,moderate rain
Celestun,MX,20.8667,-90.4,80.17,85,10,8.99,clear sky
Namatanai,PG,-3.6667,152.4333,84.36,70,18,9.46,few clouds
Borogontsy,RU,62.6683,131.1683,39.15,68,100,7.7,overcast clouds
Castro,BR,-24.7911,-50.0119,55.08,98,100,8.81,overcast clouds
Sao Caetano De Odivelas,BR,-0.75,-48.02,74.66,95,87,5.01,overcast clouds
Scottsbluff,US,41.8666,-103.6672,54.72,62,1,13.0,clear sky
Shalinskoye,RU,55.7228,93.7594,44.17,71,100,14.41,overcast clouds
Mendeleyevsk,RU,55.9082,52.2905,45.64,82,100,7.58,overcast clouds
Batsfjord,NO,70.6345,29.7185,42.03,91,100,6.6,overcast clouds
Razdolnoye,RU,43.55,131.9167,63.01,72,100,6.06,moderate rain
Geraldton,AU,-28.7667,114.6,75.61,29,17,17.27,few clouds
Pinega,RU,64.7001,43.3936,37.47,92,100,7.65,light rain
Laurel,US,39.0993,-76.8483,67.46,89,90,3.0,overcast clouds
Rocha,UY,-34.4833,-54.3333,50.65,95,0,5.75,clear sky
Sao Felix Do Xingu,BR,-6.6447,-51.995,75.07,59,33,0.43,scattered clouds
Teknaf,BD,20.8624,92.3058,87.76,66,11,4.16,few clouds
Torbay,CA,47.6666,-52.7314,44.58,86,90,24.16,overcast clouds
Faanui,PF,-16.4833,-151.75,79.29,70,14,8.34,few clouds
Barcelos,PT,41.5388,-8.6151,66.85,57,43,6.49,scattered clouds
Bambous Virieux,MU,-20.3428,57.7575,76.21,83,75,11.5,light rain
New Glasgow,CA,45.5834,-62.6486,49.78,80,0,3.42,clear sky
Lae,PG,-6.7221,146.9847,80.24,83,96,8.16,overcast clouds
Kavieng,PG,-2.5744,150.7967,83.91,70,38,8.81,scattered clouds
Rakaia,NZ,-43.75,172.0167,59.76,68,27,9.64,scattered clouds
Hambantota,LK,6.1241,81.1185,86.34,79,40,11.5,scattered clouds
Smithers,CA,54.7804,-127.1743,39.52,81,90,2.3,overcast clouds
Buy,RU,58.4786,41.53,45.41,91,100,4.9,overcast clouds
Isangel,VU,-19.55,169.2667,77.11,61,27,5.75,scattered clouds
Muroto,JP,33.2833,134.15,82.44,75,11,12.5,few clouds
Cabedelo,BR,-6.9811,-34.8339,74.07,82,44,9.53,scattered clouds
Khatanga,RU,71.9667,102.5,20.05,94,100,4.43,overcast clouds
Prince Rupert,CA,54.3161,-130.3201,47.89,88,90,6.91,light rain
Victoria,HK,22.2855,114.1577,82.36,90,100,5.99,light rain
Mathbaria,BD,22.2876,89.9593,89.2,62,21,3.53,few clouds
Cap Malheureux,MU,-19.9842,57.6142,76.46,72,20,13.0,few clouds
Berlevag,NO,70.8578,29.0864,42.57,89,100,8.99,overcast clouds
Chuy,UY,-33.6971,-53.4616,56.95,83,1,10.78,clear sky
Thompson,CA,55.7435,-97.8558,39.36,81,1,3.44,clear sky
Buala,SB,-8.145,159.5921,82.94,74,100,3.47,light rain
Ambilobe,MG,-13.2,49.05,80.92,39,47,6.26,scattered clouds
Centralia,US,46.7162,-122.9543,56.95,75,100,1.01,light rain
Kaitong,CN,44.8135,123.15,57.0,31,15,25.1,few clouds
Pemangkat,ID,1.1667,108.9667,87.66,67,52,11.45,broken clouds
Ruthin,GB,53.1137,-3.3178,56.08,95,63,1.01,broken clouds
Barrow,US,71.2906,-156.7887,30.22,80,90,0.0,overcast clouds
Chokwe,MZ,-24.5333,32.9833,70.03,68,100,18.12,overcast clouds
Neryungri,RU,56.6709,124.6491,38.43,56,3,4.43,clear sky
Maceio,BR,-9.6658,-35.7353,74.64,94,20,2.3,few clouds
Thunder Bay,CA,48.4001,-89.3168,63.0,98,90,9.22,overcast clouds
Kilindoni,TZ,-7.9139,39.6668,78.39,76,54,9.86,broken clouds
Sakakah,SA,29.9697,40.2064,72.97,19,0,8.86,clear sky
Bathsheba,BB,13.2167,-59.5167,77.61,88,75,16.11,shower rain
Francistown,BW,-21.17,27.5079,77.95,35,2,11.99,clear sky
Cocobeach,GA,1.0002,9.5823,76.93,94,100,2.68,moderate rain
Dalby,AU,-27.1833,151.2667,89.98,22,0,5.01,clear sky
Kahului,US,20.8947,-156.47,76.26,93,40,12.66,light rain
Provideniya,RU,64.3833,-173.3,29.17,81,78,4.56,broken clouds
Freeport,US,40.6576,-73.5832,65.97,75,75,7.0,broken clouds
Iqaluit,CA,63.7506,-68.5145,33.53,93,90,1.99,overcast clouds
Kununurra,AU,-15.7667,128.7333,102.18,22,55,10.36,broken clouds
Khani,GE,41.9563,42.9566,49.57,63,16,2.71,few clouds
Longyearbyen,SJ,78.2186,15.6401,19.24,79,20,9.22,few clouds
Gamba,GA,-2.65,10.0,76.35,87,100,5.44,overcast clouds
Margate,GB,51.3813,1.3862,52.7,99,87,7.87,overcast clouds
Tuktoyaktuk,CA,69.4541,-133.0374,30.2,80,90,6.91,overcast clouds
Sorland,NO,67.667,12.6934,51.4,90,100,19.62,light rain
Hervey Bay,AU,-25.2986,152.8535,81.03,68,0,12.3,clear sky
Gambela,ET,8.25,34.5833,73.17,91,100,4.9,overcast clouds
Calvinia,ZA,-31.4707,19.776,49.82,64,56,8.99,broken clouds
Maryville,US,35.7565,-83.9705,67.12,93,1,1.99,clear sky
Havelock,US,34.8791,-76.9013,71.58,93,100,3.0,overcast clouds
Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,66.56,95,77,3.65,broken clouds
Sao Joao Da Barra,BR,-21.6403,-41.0511,67.64,88,100,12.12,moderate rain
Kitimat,CA,54.0524,-128.6534,44.91,50,99,3.96,light rain
Nargana,PA,9.4428,-78.5906,79.84,84,68,7.16,broken clouds
Springfield,US,37.2153,-93.2982,73.69,71,1,7.0,clear sky
Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,36,0,10.36,clear sky
Kyshtovka,RU,56.555,76.6271,42.19,64,100,8.41,overcast clouds
Cam Ranh,VN,11.9214,109.1591,89.56,58,40,4.61,scattered clouds
Harare,ZW,-17.8294,31.0539,72.72,36,0,7.14,clear sky
Creel,MX,27.75,-107.6333,53.44,63,65,5.66,broken clouds
Hvide Sande,DK,56.0045,8.1294,43.09,71,87,12.77,overcast clouds
Charters Towers,AU,-20.1,146.2667,91.78,22,15,16.84,few clouds
Gao,ML,16.6362,1.637,80.55,12,7,11.3,clear sky
Hami,CN,42.8,93.45,52.05,20,0,1.36,clear sky
Lensk,RU,60.7253,114.9278,38.86,94,100,13.89,light rain
Guerrero Negro,MX,27.9769,-114.0611,68.94,65,0,20.33,clear sky
Cherskiy,RU,68.75,161.3,7.68,98,75,4.92,broken clouds
Pionerskiy,RU,54.9508,20.2275,31.84,72,71,8.9,broken clouds
Saint George,US,37.1041,-113.5841,63.19,38,1,1.99,clear sky
Kaseda,JP,31.4167,130.3167,83.43,61,1,14.41,clear sky
Marsh Harbour,BS,26.5412,-77.0636,78.82,72,58,5.14,broken clouds
Colares,PT,38.7992,-9.4469,60.89,77,77,3.0,broken clouds
Sabang,ID,5.8933,95.3214,83.03,78,59,22.5,broken clouds
Tarko-Sale,RU,64.9225,77.785,29.97,74,34,18.45,scattered clouds
Amboasary,MG,-25.0333,46.3833,71.44,49,44,2.46,scattered clouds
Cagliari,IT,39.245,9.0912,61.92,70,75,6.91,broken clouds
Paamiut,GL,61.994,-49.6678,35.82,51,98,3.6,overcast clouds
Encruzilhada Do Sul,BR,-30.5439,-52.5219,56.88,98,100,8.48,overcast clouds
Chutove,UA,49.7104,35.1603,45.86,47,100,9.4,light rain
Attingal,IN,8.6833,76.8333,87.48,70,56,4.9,broken clouds
Praya,CV,14.9215,-23.5087,77.54,83,20,6.91,few clouds
Kota Kinabalu,MY,5.9749,116.0724,89.58,70,20,5.75,light rain
Navahrudak,BY,53.6,25.8333,34.36,86,0,3.89,clear sky
Baft,IR,29.234,56.6057,65.89,32,0,6.67,clear sky
Vardo,NO,70.3705,31.1107,42.46,93,100,10.76,overcast clouds
Tommot,RU,58.9564,126.2925,44.37,54,21,6.58,few clouds
Sioux Lookout,CA,50.1001,-91.917,55.78,100,40,4.61,scattered clouds
Bairiki,KI,1.3292,172.9752,84.2,70,40,6.91,scattered clouds
Mazagao,BR,-0.115,-51.2894,82.45,93,86,5.14,overcast clouds
Vuktyl,RU,63.8567,57.3094,31.57,67,72,4.07,broken clouds
Meiktila,MM,20.8667,95.8667,87.24,64,98,2.19,overcast clouds
Dudinka,RU,69.4058,86.1778,25.74,81,100,10.58,overcast clouds
Husavik,IS,66.0449,-17.3389,39.11,90,100,9.84,overcast clouds
Kayes,ML,14.0,-11.0,78.04,67,100,4.65,overcast clouds
Bemidji,US,47.4736,-94.8803,63.05,100,75,14.97,light rain
Lavrentiya,RU,65.5833,-171.0,30.52,76,95,6.02,overcast clouds
Gimli,CA,50.6336,-96.9907,55.42,82,100,17.27,overcast clouds
Hamilton,US,39.1834,-84.5333,71.37,84,1,1.01,mist
Carballo,ES,43.213,-8.691,61.86,86,3,7.18,clear sky
Port Blair,IN,11.6667,92.75,82.69,78,100,14.7,overcast clouds
Luderitz,NA,-26.6481,15.1594,62.04,57,18,8.25,few clouds
Maloy,NO,61.9353,5.1136,54.0,95,100,1.99,overcast clouds
Puerto Escondido,MX,15.85,-97.0667,79.23,84,100,7.2,overcast clouds
Bonavista,CA,48.6499,-53.1147,44.11,75,59,35.01,broken clouds
Meadow Lake,US,34.8014,-106.5436,67.48,44,98,6.69,overcast clouds
Kilimatinde,TZ,-5.85,34.95,70.48,61,18,8.12,few clouds
Ixtapa,MX,20.7,-105.2,83.23,86,87,2.62,overcast clouds
Mongo,TD,12.1844,18.693,83.39,52,99,4.5,overcast clouds
Kondopoga,RU,62.2057,34.2614,49.68,94,100,8.1,overcast clouds
Wapi Pathum,TH,15.8452,103.3768,91.96,60,97,12.93,overcast clouds
Oksfjord,NO,70.2396,22.3479,41.92,88,100,1.95,overcast clouds
Ostrovnoy,RU,68.0531,39.5131,40.15,96,100,6.55,overcast clouds
Ninotsminda,GE,41.2646,43.5916,28.85,55,0,2.35,clear sky
Vila Velha,BR,-20.3297,-40.2925,66.15,100,90,4.61,overcast clouds
Tubmanburg,LR,6.8708,-10.8172,73.29,97,89,0.94,light rain
Boa Vista,BR,2.8197,-60.6733,80.58,83,0,5.75,clear sky
Calama,CL,-22.4667,-68.9333,52.38,30,38,5.01,scattered clouds
Lieksa,FI,63.3167,30.0167,50.92,95,100,13.44,overcast clouds
Sinegorye,RU,62.0788,150.477,21.61,82,8,4.81,clear sky
Murray Bridge,AU,-35.1167,139.2667,64.45,42,73,16.15,broken clouds
Kongoussi,BF,13.3258,-1.5347,79.39,60,69,7.96,broken clouds
Alice Springs,AU,-23.7,133.8833,74.75,41,40,16.11,scattered clouds
Loandjili,CG,-4.7561,11.8578,77.11,88,75,4.61,broken clouds
Lillooet,CA,50.6856,-121.942,52.52,89,91,6.06,overcast clouds
Floresta,BR,-8.6011,-38.5686,72.23,76,25,12.48,scattered clouds
Roald,NO,62.5833,6.1333,58.15,100,90,10.36,light intensity drizzle
Morwell,AU,-38.2333,146.4,57.67,58,86,7.52,overcast clouds
Severo-Kurilsk,RU,50.6789,156.125,47.12,72,72,12.5,broken clouds
Ukiah,US,39.1502,-123.2078,59.13,56,1,0.0,clear sky
Lagoa,PT,39.05,-27.9833,69.76,86,100,25.12,overcast clouds
Viseu,PT,40.661,-7.9097,55.85,51,67,9.37,broken clouds
Muravlenko,RU,63.7898,74.523,30.45,73,16,17.72,few clouds
Yeppoon,AU,-23.1333,150.7333,85.78,61,0,11.65,clear sky
Polyarnyy,RU,69.1989,33.4478,39.67,94,100,8.25,overcast clouds
Atar,MR,20.5169,-13.0499,81.25,19,92,7.76,overcast clouds
Rosarito,MX,32.3333,-117.0333,65.08,69,0,8.55,clear sky
Solnechnyy,RU,50.7214,136.6319,44.19,98,100,2.44,moderate rain
Souillac,MU,-20.5167,57.5167,76.35,83,75,11.5,light rain
Karratha,AU,-20.7377,116.8463,90.03,23,0,14.18,clear sky
Vero Beach,US,27.6386,-80.3973,76.03,92,1,1.01,clear sky
Prieska,ZA,-29.6641,22.7474,51.58,55,1,10.78,clear sky
Nikolskoye,RU,59.7035,30.7861,48.02,80,77,6.51,broken clouds
Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,73,90,18.41,overcast clouds
Te Anau,NZ,-45.4167,167.7167,53.46,75,69,6.26,broken clouds
Aqtobe,KZ,50.2797,57.2072,35.69,64,1,2.24,smoke
Alofi,NU,-19.0595,-169.9187,78.69,83,100,9.22,overcast clouds
Awbari,LY,26.5921,12.7805,72.84,17,0,7.65,clear sky
Pevek,RU,69.7008,170.3133,25.56,94,100,4.52,light snow
Egvekinot,RU,66.3167,-179.1667,15.28,85,96,6.93,overcast clouds
Genhe,CN,50.7833,121.5167,41.13,80,81,13.8,broken clouds
Baykit,RU,61.67,96.37,36.18,78,100,14.07,light rain
Horadiz,AZ,39.4488,47.3353,45.37,66,1,0.67,clear sky
Udachnyy,RU,66.4167,112.4,35.73,94,100,10.51,overcast clouds
Ballina,AU,-28.8667,153.5667,89.78,53,0,18.41,clear sky
Banepa,NP,27.6298,85.5214,75.52,69,20,3.44,few clouds
Formosa Do Rio Preto,BR,-11.0483,-45.1931,73.8,29,52,3.51,broken clouds
Batemans Bay,AU,-35.7167,150.1833,67.19,94,100,6.82,light rain
Muros,ES,42.7762,-9.0603,62.24,68,0,16.82,clear sky
Tigzirt,DZ,36.8886,4.1198,64.04,74,3,2.66,clear sky
Pucallpa,PE,-8.3791,-74.5539,75.13,79,64,0.16,broken clouds
Lyambir,RU,54.2817,45.1249,40.08,72,45,4.61,scattered clouds
San Quintin,MX,30.4833,-115.95,64.63,81,0,14.85,clear sky
Anantapur,IN,14.6833,77.6,86.18,59,81,11.25,broken clouds
Riyadh,SA,24.6877,46.7219,82.45,14,0,3.44,clear sky
Bandarbeyla,SO,9.4942,50.8122,81.46,72,75,19.82,broken clouds
